X=1;#1_RESERVE ZZSEQ FAULT
X=37;#37_RESERVE ZZSEQ FAULT
X=44;#44_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=63;#63_X OPSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=13;#13_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=28;#28_X BVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=40;#40_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=50;#50_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=53;#53_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=54;#54_X BVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=57;#57_XR VM MODULESTATUS ISLAND VALVE FAULT ETHERNET
X=48;#48_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=46;#46_X AVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=87;#87_RESERVE ZZSEQ FAULT
X=64;#64_THE F BREAKER OK
X=66;#66_THE F F F BREAKER OK
X=61;#61_THE U STRATIX FAULT ETHERNET STRATIX
X=81;#81_RESERVE ZZSEQ FAULT
X=51;#51_X BVM MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=52;#52_X BSB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=68;#68_THE F CB F BREAKER OK
X=65;#65_THE F F F BREAKER OK
X=45;#45_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=77;#77_RESERVE ZZSEQ FAULT
X=71;#71_RESERVE ZZSEQ FAULT
X=83;#83_RESERVE ZZSEQ FAULT
X=62;#62_THE U STRATIX FAULT ETHERNET STRATIX
X=39;#39_RESERVE ZZSEQ FAULT
X=103;#103_THE S CHANNEL EMERGENCY STOP PORTAO
X=90;#90_RESERVE ZZSEQ FAULT
X=91;#91_RESERVE ZZSEQ FAULT
X=88;#88_RESERVE ZZSEQ FAULT
X=94;#94_RESERVE ZZSEQ FAULT
X=95;#95_RESERVE ZZSEQ FAULT
X=89;#89_RESERVE ZZSEQ FAULT
X=98;#98_THE S CHANNEL EMERGENCY STOP PV
X=99;#99_THE S CHANNEL EMERGENCY STOP PV
X=100;#100_THE S CHANNEL EMERGENCY STOP PORTAO
X=122;#122_RESERVE ZZSEQ FAULT
X=123;#123_RESERVE ZZSEQ FAULT
X=125;#125_RESERVE ZZSEQ FAULT
X=110;#110_RESERVE ZZSEQ FAULT
X=119;#119_RESERVE ZZSEQ FAULT
X=73;#73_RESERVE ZZSEQ FAULT
X=111;#111_RESERVE ZZSEQ FAULT
X=114;#114_RESERVE ZZSEQ FAULT
X=115;#115_RESERVE ZZSEQ FAULT
X=67;#67_THE F BREAKER OK
X=106;#106_THE S CHANNEL EMERGENCY STOP PORTAO
X=78;#78_RESERVE ZZSEQ FAULT
X=93;#93_RESERVE ZZSEQ FAULT
X=69;#69_THE F CB F BREAKER OK
X=158;#158_RESERVE ZZSEQ FAULT
X=97;#97_THE S CHANNEL EMERGENCY STOP PV
X=112;#112_RESERVE ZZSEQ FAULT
X=86;#86_RESERVE ZZSEQ FAULT
X=82;#82_RESERVE ZZSEQ FAULT
X=84;#84_RESERVE ZZSEQ FAULT
X=85;#85_RESERVE ZZSEQ FAULT
X=102;#102_THE S CHANNEL EMERGENCY STOP PORTAO
X=126;#126_RESERVE ZZSEQ FAULT
X=118;#118_THE S EMERGENCY STOP CHANNEL PANEL OPERATOR
X=74;#74_RESERVE ZZSEQ FAULT
X=79;#79_RESERVE ZZSEQ FAULT
X=101;#101_THE S CHANNEL EMERGENCY STOP PORTAO
X=75;#75_THE KQ FT F PROGRAMMABLE DEVICE FULGA EARTH NOK
X=80;#80_RESERVE ZZSEQ FAULT
X=76;#76_RESERVE ZZSEQ FAULT
X=92;#92_THE DCS CURTAIN LIGHT ST ST INTERRUPTED
X=58;#58_XR VM MODULESTATUS ISLAND VALVE FAULT ETHERNET
X=41;#41_X ASB MODULESTATUS ETHERNET MODULE FAILURE STRATIX
X=174;#174_RESERVE ZZSEQ FAULT
X=186;#186_RESERVE ZZSEQ FAULT
X=104;#104_THE S CHANNEL EMERGENCY STOP PORTAO
X=162;#162_THE S EMERGENCY STOP PV
X=105;#105_THE S CHANNEL EMERGENCY STOP PORTAO
X=140;#140_R LES CHANNEL EMERGENCY STOP ROBOT
X=143;#143_R LES CHANNEL EMERGENCY STOP ROBOT
X=184;#184_RESERVE ZZSEQ FAULT
X=108;#108_THE S CHANNEL EMERGENCY STOP PORTAO
X=187;#187_RESERVE ZZSEQ FAULT
 PV
X=164;#164_THE S EMERGENCY STOP PORTAO
X=135;#135_R LES CHANNEL EMERGENCY STOP ROBOT
X=113;#113_RESERVE ZZSEQ FAULT
X=183;#183_RESERVE ZZSEQ FAULT
X=191;#191_RESERVE ZZSEQ FAULT
X=120;#120_RESERVE ZZSEQ FAULT
X=130;#130_R LES CHANNEL EMERGENCY STOP ROBOT
X=121;#121_RESERVE ZZSEQ FAULT
X=124;#124_RESERVE ZZSEQ FAULT
X=96;#96_THE S CHANNEL EMERGENCY STOP PV
X=116;#116_THE S EMERGENCY STOP CHANNEL PANEL OPERATOR
X=178;#178_RESERVE ZZSEQ FAULT
X=109;#109_THE S CHANNEL EMERGENCY STOP PORTAO
X=70;#70_X SEALER S LADDER OUT OF POSITION ROBOT R
X=159;#159_RESERVE ZZSEQ FAULT
X=144;#144_R LES CHANNEL EMERGENCY STOP ROBOT
X=147;#147_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=107;#107_THE S CHANNEL EMERGENCY STOP PORTAO
X=56;#56_XR VM MODULESTATUS ISLAND VALVE FAULT ETHERNET
X=117;#117_THE S EMERGENCY STOP CHANNEL PANEL OPERATOR
X=177;#177_RESERVE ZZSEQ FAULT
X=127;#127_RESERVE ZZSEQ FAULT
X=175;#175_RESERVE ZZSEQ FAULT
X=190;#190_RESERVE ZZSEQ FAULT
X=151;#151_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=179;#179_RESERVE ZZSEQ FAULT
X=156;#156_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=139;#139_R LES CHANNEL EMERGENCY STOP ROBOT
X=153;#153_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=160;#160_THE S EMERGENCY STOP PV
X=129;#129_R LES CHANNEL EMERGENCY STOP ROBOT
X=134;#134_R LES CHANNEL EMERGENCY STOP ROBOT
X=163;#163_THE S EMERGENCY STOP PV
X=176;#176_RESERVE ZZSEQ FAULT
X=165;#165_THE S EMERGENCY STOP PORTAO
X=149;#149_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=136;#136_R LES CHANNEL EMERGENCY STOP ROBOT
X=138;#138_R LES CHANNEL EMERGENCY STOP ROBOT
X=128;#128_R LES CHANNEL EMERGENCY STOP ROBOT
X=131;#131_R LES CHANNEL EMERGENCY STOP ROBOT
X=137;#137_R LES CHANNEL EMERGENCY STOP ROBOT
X=152;#152_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=166;#166_THE S EMERGENCY STOP PORTAO
X=171;#171_THE S EMERGENCY STOP PORTAO
X=222;#222_RESERVE ZZSEQ FAULT
X=168;#168_THE S EMERGENCY STOP PORTAO
X=157;#157_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=133;#133_R LES CHANNEL EMERGENCY STOP ROBOT
X=224;#224_RESERVE ZZSEQ FAULT
X=189;#189_RESERVE ZZSEQ FAULT
X=180;#180_THE S EMERGENCY STOP THE PANEL OPERATOR
X=150;#150_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=185;#185_RESERVE ZZSEQ FAULT
X=141;#141_R LES CHANNEL EMERGENCY STOP ROBOT
X=223;#223_RESERVE ZZSEQ FAULT
X=181;#181_THE S EMERGENCY STOP THE PANEL OPERATOR
X=169;#169_THE S EMERGENCY STOP PORTAO
X=167;#167_THE S EMERGENCY STOP PORTAO
X=132;#132_R LES CHANNEL EMERGENCY STOP ROBOT
X=195;#195_R LES THE EMERGENCY STOP ROBOT
X=204;#204_R LES THE EMERGENCY STOP ROBOT
X=225;#225_RESERVE ZZSEQ FAULT
X=201;#201_R LES THE EMERGENCY STOP ROBOT
X=154;#154_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=182;#182_THE S EMERGENCY STOP THE PANEL OPERATOR
X=188;#188_RESERVE ZZSEQ FAULT
X=209;#209_R LES THE EMERGENCY STOP ROBOT
X=210;#210_XX R LES THE EMERGENCY STOP ROBOT
X=233;#233_THE S THE SECURITY GATE CLOSED
X=203;#203_R LES THE EMERGENCY STOP ROBOT
X=227;#227_RESERVE ZZSEQ FAULT
CY STOP ROBOT
X=196;#196_R LES THE EMERGENCY STOP ROBOT
X=148;#148_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=226;#226_RESERVE ZZSEQ FAULT
X=205;#205_R LES THE EMERGENCY STOP ROBOT
X=238;#238_RESERVE ZZSEQ FAULT
X=155;#155_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=231;#231_THE S THE SECURITY GATE CLOSED
X=208;#208_R LES THE EMERGENCY STOP ROBOT
X=145;#145_R LES CHANNEL EMERGENCY STOP ROBOT
X=194;#194_R LES THE EMERGENCY STOP ROBOT
X=217;#217_XX R LES THE EMERGENCY STOP ROBOT
X=239;#239_RESERVE ZZSEQ FAULT
X=235;#235_THE S THE SECURITY GATE CLOSED
X=197;#197_R LES THE EMERGENCY STOP ROBOT
X=219;#219_XX R LES THE EMERGENCY STOP ROBOT
X=200;#200_R LES THE EMERGENCY STOP ROBOT
X=198;#198_R LES THE EMERGENCY STOP ROBOT
X=207;#207_R LES THE EMERGENCY STOP ROBOT
OT
X=230;#230_THE S THE SECURITY GATE CLOSED
X=232;#232_THE S THE SECURITY GATE CLOSED
X=236;#236_THE S THE SECURITY GATE CLOSED
X=213;#213_XX R LES THE EMERGENCY STOP ROBOT
X=214;#214_XX R LES THE EMERGENCY STOP ROBOT
X=192;#192_R LES THE EMERGENCY STOP ROBOT
X=170;#170_THE S EMERGENCY STOP PORTAO
X=215;#215_XX R LES THE EMERGENCY STOP ROBOT
X=220;#220_XX R LES THE EMERGENCY STOP ROBOT
X=206;#206_R LES THE EMERGENCY STOP ROBOT
X=199;#199_R LES THE EMERGENCY STOP ROBOT
X=146;#146_XXR LES CHANNEL EMERGENCY STOP ROBOT
X=172;#172_THE S EMERGENCY STOP PORTAO
X=142;#142_R LES CHANNEL EMERGENCY STOP ROBOT
X=249;#249_RESERVE ZZSEQ FAULT
X=237;#237_THE S THE SECURITY GATE CLOSED
X=229;#229_THE S THE SECURITY GATE CLOSED
X=221;#221_XX R LES THE EMERGENCY STOP ROBOT
X=244;#244_RESERVE ZZSEQ FAULT
X=211;#211_XX R LES THE EMERGENCY STOP ROBOT
X=242;#242_RESERVE ZZSEQ FAULT
X=258;#258_RESERVE ZZSEQ FAULT
X=253;#253_PLC PLC IN SFTY ESTOP ESTOP
X=218;#218_XX R LES THE EMERGENCY STOP ROBOT
X=254;#254_SFTY RUNMODE PLC PLC IN RUN IN
X=255;#255_PLC PLC IN SFTY ESTOP ESTOP
X=256;#256_RESERVE ZZSEQ FAULT
X=263;#263_THE S THE SECURITY GATE RESET A
X=202;#202_R LES THE EMERGENCY STOP ROBOT
X=268;#268_THE S THE SECURITY GATE RESET A
X=245;#245_RESERVE ZZSEQ FAULT
X=246;#246_RESERVE ZZSEQ FAULT
X=240;#240_RESERVE ZZSEQ FAULT
X=280;#280_RESERVE ZZSEQ FAULT
X=234;#234_THE S THE SECURITY GATE CLOSED
X=241;#241_RESERVE ZZSEQ FAULT
X=248;#248_RESERVE ZZSEQ FAULT
X=284;#284_RESERVE ZZSEQ FAULT
X=250;#250_SFTY RUNMODE PLC PLC IN RUN IN
X=282;#282_RESERVE ZZSEQ FAULT
X=247;#247_RESERVE ZZSEQ FAULT
X=266;#266_THE S THE SECURITY GATE RESET A
X=243;#243_RESERVE ZZSEQ FAULT
X=257;#257_RESERVE ZZSEQ FAULT
X=279;#279_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=270;#270_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=252;#252_SFTY RUNMODE PLC PLC IN RUN IN
X=276;#276_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=297;#297_RESERVE ZZSEQ FAULT
X=291;#291_RESERVE ZZSEQ FAULT
X=260;#260_THE S THE SECURITY GATE RESET A
X=317;#317_RESERVE ZZSEQ FAULT
X=301;#301_RESERVE ZZSEQ FAULT
X=277;#277_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=261;#261_THE S THE SECURITY GATE RESET A
X=264;#264_THE S THE SECURITY GATE RESET A
X=265;#265_THE S THE SECURITY GATE RESET A
X=314;#314_RESERVE ZZSEQ FAULT
X=275;#275_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=274;#274_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=308;#308_RESERVE ZZSEQ FAULT
X=292;#292_RESERVE ZZSEQ FAULT
X=281;#281_RESERVE ZZSEQ FAULT
X=307;#307_RESERVE ZZSEQ FAULT
X=296;#296_RESERVE ZZSEQ FAULT
X=259;#259_RESERVE ZZSEQ FAULT
X=327;#327_RESERVE ZZSEQ FAULT
X=324;#324_THE S K DC RELAY OUTPUT DC
X=329;#329_RESERVE ZZSEQ FAULT
X=313;#313_RESERVE ZZSEQ FAULT
PUT DC
X=285;#285_RESERVE ZZSEQ FAULT
X=315;#315_RESERVE ZZSEQ FAULT
X=335;#335_THE K AS RELAY OUTPUT FIXT C
X=288;#288_RESERVE ZZSEQ FAULT
X=316;#316_RESERVE ZZSEQ FAULT
X=323;#323_THE S K DC RELAY OUTPUT DC
X=319;#319_RESERVE ZZSEQ FAULT
X=278;#278_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=342;#342_RESERVE ZZSEQ FAULT
X=348;#348_RESERVE ZZSEQ FAULT
X=311;#311_RESERVE ZZSEQ FAULT
X=283;#283_RESERVE ZZSEQ FAULT
X=318;#318_RESERVE ZZSEQ FAULT
X=293;#293_RESERVE ZZSEQ FAULT
X=306;#306_RESERVE ZZSEQ FAULT
X=340;#340_THE K AS RELAY OUTPUT FIXT C
X=321;#321_THE S K DC RELAY OUTPUT DC
X=294;#294_RESERVE ZZSEQ FAULT
X=300;#300_RESERVE ZZSEQ FAULT
X=341;#341_THE K AS RELAY OUTPUT FIXT D
X=349;#349_RESERVE ZZSEQ FAULT
X=328;#328_RESERVE ZZSEQ FAULT
X=272;#272_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=304;#304_RESERVE ZZSEQ FAULT
X=298;#298_RESERVE ZZSEQ FAULT
X=331;#331_THE K RELAY OUTPUT CONV UNLOAD
X=337;#337_THE K DRIVE ENABLES THE STA
X=332;#332_THE K DRIVE ENABLES THE STA
X=312;#312_RESERVE ZZSEQ FAULT
X=286;#286_RESERVE ZZSEQ FAULT
X=346;#346_RESERVE ZZSEQ FAULT
X=271;#271_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=273;#273_THE S CHANNEL PORTAO SAFETY IN A FAILURE
X=334;#334_THE K AS RELAY OUTPUT B FIXT
X=289;#289_RESERVE ZZSEQ FAULT
X=290;#290_RESERVE ZZSEQ FAULT
X=354;#354_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=344;#344_RESERVE ZZSEQ FAULT
X=326;#326_RESERVE ZZSEQ FAULT
X=338;#338_THE K AS A RELAY OUTPUT FIXT
X=325;#325_THE S K DC RELAY OUTPUT DC
X=330;#330_THE K RELAY OUTPUT LOAD CONV
X=358;#358_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=310;#310_RESERVE ZZSEQ FAULT
X=302;#302_RESERVE ZZSEQ FAULT
X=347;#347_RESERVE ZZSEQ FAULT
X=383;#383_RESERVE ZZSEQ FAULT
X=336;#336_THE K AS RELAY OUTPUT FIXT D
X=382;#382_RESERVE ZZSEQ FAULT
X=343;#343_RESERVE ZZSEQ FAULT
X=355;#355_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=363;#363_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=384;#384_X NVM DIAG BYTE CIRCUIT OPEN DETECTED
X=390;#390_X R VM DIAG BYTE CIRCUIT OPEN DETECTED
X=361;#361_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=351;#351_RESERVE ZZSEQ FAULT
X=360;#360_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=339;#339_THE K AS RELAY OUTPUT B FIXT
X=376;#376_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=359;#359_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=353;#353_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=367;#367_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=362;#362_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=305;#305_RESERVE ZZSEQ FAULT
X=352;#352_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=322;#322_THE S K DC RELAY OUTPUT DC
X=387;#387_X R VM DIAG BYTE CIRCUIT OPEN DETECTED
X=372;#372_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=370;#370_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=356;#356_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=368;#368_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=375;#375_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=386;#386_X NVM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=381;#381_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=364;#364_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=357;#357_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=373;#373_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=345;#345_RESERVE ZZSEQ FAULT
X=269;#269_THE S THE SECURITY GATE RESET A
X=394;#394_X AVM SHORT CIRCUIT DIAG BYTE OUT OF DETECTED VAUVULA
X=379;#379_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=396;#396_X R VM DIAG BYTE CIRCUIT OPEN DETECTED
X=333;#333_THE K AS A RELAY OUTPUT FIXT
X=366;#366_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=377;#377_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=380;#380_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=397;#397_XR VM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=391;#391_XR VM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=369;#369_R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=371;#371_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=388;#388_XR VM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=393;#393_X AVM DIAG BYTE CIRCUIT OPEN DETECTED
X=374;#374_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=398;#398_X R VM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=389;#389_X R VM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=395;#395_X AVM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=385;#385_X NVM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=392;#392_X R VM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=378;#378_XX R APPESTOPROUT THE EMERGENCY STOP TIMER WELDING
X=405;#405_X AVM DIAG BYTE CIRCUIT OPEN DETECTED
X=399;#399_X R VM DIAG BYTE CIRCUIT OPEN DETECTED
X=413;#413_RESERVE ZZSEQ FAULT
X=402;#402_X R VM DIAG BYTE CIRCUIT OPEN DETECTED
X=410;#410_X AVM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=415;#415_RESERVE ZZSEQ FAULT
X=411;#411_RESERVE ZZSEQ FAULT
X=401;#401_X R VM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=419;#419_X AVM BYT DIAGNOSTIC CIRCUIT OPEN DETECTED
X=407;#407_X AVM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=406;#406_X AVM SHORT CIRCUIT DIAG BYTE OUT OF DETECTED VAUVULA
X=414;#414_RESERVE ZZSEQ FAULT
X=408;#408_X AVM DIAG BYTE CIRCUIT OPEN DETECTED
X=412;#412_RESERVE ZZSEQ FAULT
X=418;#418_X AVM DIAGNOSTIC BYT POWER FAILURE DETECTED
X=438;#438_RESERVE ZZSEQ FAULT
X=439;#439_RESERVE ZZSEQ FAULT
X=417;#417_X AVM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=409;#409_X AVM SHORT CIRCUIT DIAG BYTE OUT OF DETECTED VAUVULA
X=416;#416_X AVM BYT DIAGNOSTIC CIRCUIT OPEN DETECTED
X=403;#403_XR VM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=428;#428_DETECTED R VM BYT DIAGNOSTIC CIRCUIT OPEN
X=440;#440_RESERVE ZZSEQ FAULT
X=454;#454_RESERVE ZZSEQ FAULT
X=437;#437_RESERVE ZZSEQ FAULT
X=450;#450_RESERVE ZZSEQ FAULT
X=427;#427_R VM BYT DIAGNOSTIC FAILURE OF POWER SUPPLY DETECTED
X=448;#448_RESERVE ZZSEQ FAULT
X=444;#444_RESERVE ZZSEQ FAULT
X=400;#400_XR VM DIAG BYTE SHORT CIRCUIT OUTPUT VAUVULA DETECTED
X=447;#447_RESERVE ZZSEQ FAULT
X=425;#425_DETECTED R VM BYT DIAGNOSTIC CIRCUIT OPEN
X=460;#460_RESERVE ZZSEQ FAULT
X=423;#423_R VM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=470;#470_THE APS DEVICE OK AR
X=446;#446_RESERVE ZZSEQ FAULT
X=431;#431_DETECTED R VM BYT DIAGNOSTIC CIRCUIT OPEN
X=420;#420_X AVM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=471;#471_BPS DEVICE B AR OK
X=434;#434_DETECTED R VM BYT DIAGNOSTIC CIRCUIT OPEN
X=429;#429_R VM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=421;#421_X AVM DIAGNOSTIC BYT POWER FAILURE DETECTED
X=404;#404_X R VM DIAG BYTE POWER SUPPLY FAILURE DETECTED
X=456;#456_RESERVE ZZSEQ FAULT
X=441;#441_RESERVE ZZSEQ FAULT
X=443;#443_RESERVE ZZSEQ FAULT
X=457;#457_RESERVE ZZSEQ FAULT
X=430;#430_R VM BYT DIAGNOSTIC FAILURE OF POWER SUPPLY DETECTED
X=473;#473_SXX FLOW WATER NOK
X=461;#461_RESERVE ZZSEQ FAULT
X=463;#463_R PS AR ROBOT OK
X=472;#472_XSB FLOW WATER OK
X=462;#462_NPSI DEVICE AR OK
X=432;#432_R VM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=422;#422_DETECTED R VM BYT DIAGNOSTIC CIRCUIT OPEN
X=465;#465_R PS AR ROBOT OK
X=424;#424_R VM BYT DIAGNOSTIC FAILURE OF POWER SUPPLY DETECTED
X=436;#436_R VM BYT DIAGNOSTIC FAILURE OF POWER SUPPLY DETECTED
X=468;#468_THE APS DEVICE OK AR
X=479;#479_RESERVE ZZSEQ FAULT
X=442;#442_RESERVE ZZSEQ FAULT
X=426;#426_R VM BYT DIAGNOSTIC OUTPUT SHORT CIRCUIT VALVE DETECTED
X=449;#449_RESERVE ZZSEQ FAULT
X=464;#464_R PS AR ROBOT OK
X=474;#474_SXX FLOW WATER OK
X=451;#451_RESERVE ZZSEQ FAULT
X=478;#478_RESERVE ZZSEQ FAULT
X=433;#433_R VM BYT DIAGNOSTIC FAILURE OF POWER SUPPLY DETECTED
X=469;#469_BPS DEVICE B AR OK
X=485;#485_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=477;#477_RESERVE ZZSEQ FAULT
X=452;#452_RESERVE ZZSEQ FAULT
X=475;#475_SXX FLOW WATER NOK
X=496;#496_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=483;#483_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=480;#480_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=466;#466_R PS AR ROBOT OK
X=486;#486_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=487;#487_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=488;#488_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=458;#458_XSB PS AR OK
X=494;#494_MODULESTATUS ETHERNET CONTROLLER R FAIL ROBOT
X=455;#455_RESERVE ZZSEQ FAULT
X=505;#505_XX R MODULESTATUS ETHERNET CONTROLLER FAILURE ROBOT
